Date,COMID,Flow_M3PerDay
2019-05-20,8834912,2736.85975833333
2019-05-21,8834912,2306.90329166667
2019-05-22,8834912,2006.91963333333
2019-05-23,8834912,1814.36625
2019-05-24,8834912,1658.71670416667
2019-05-25,8834912,1518.32606666667
2019-05-26,8834912,1411.49910416667
2019-05-27,8834912,1325.2135125
2019-05-28,8834912,1254.17212083333
2019-05-29,8834912,1176.92122083333
2019-05-30,8834912,1115.0910625
2019-05-31,8834912,1075.58273333333
2019-06-01,8834912,1043.8878
2019-06-02,8834912,1025.03856666667
2019-06-03,8834912,1025.90674166667
2019-06-04,8834912,1004.3206
2019-06-05,8834912,958.014220833333
2019-06-06,8834912,911.457679166667
2019-04-28,8834908,11763.3557375
2019-04-29,8834908,11757.705375
2019-04-30,8834908,12085.5140875
2019-05-01,8834908,12405.96555
2019-05-02,8834908,12429.6852541667
2019-05-03,8834908,12090.9584375
2019-05-04,8834908,11809.8387041667
2019-05-05,8834908,11458.5310291667
2019-05-06,8834908,10350.6059125
2019-05-07,8834908,10163.3938625
2019-05-08,8834908,10968.8191416667
2019-05-09,8834908,10070.177775
2019-05-10,8834908,7782.21197916667
2019-05-11,8834908,5398.48448333333
2019-05-12,8834908,3715.8568
2019-05-13,8834908,2918.68630833333
2019-05-14,8834908,2635.25642083333
2019-05-15,8834908,2567.67292083333
2019-05-16,8834908,2651.2657625
2019-05-17,8834908,2780.282125
2019-05-18,8834908,2897.14435833333
2019-05-19,8834908,2955.53132083333
2019-05-20,8834908,2721.83629166667
2019-05-21,8834908,2291.364825
2019-05-22,8834908,1996.310525
2019-05-23,8834908,1806.30272083333
2019-05-24,8834908,1650.69734166667
2019-05-25,8834908,1511.58684583333
2019-05-26,8834908,1405.77517083333
2019-05-27,8834908,1320.25475416667
2019-05-28,8834908,1249.49291666667
2019-05-29,8834908,1172.0948625
2019-05-30,8834908,1111.47129583333
2019-05-31,8834908,1072.59570833333
2019-06-01,8834908,1041.121475
2019-06-02,8834908,1023.4199625
2019-06-03,8834908,1024.53829166667
2019-06-04,8834908,1001.20114166667
2019-06-05,8834908,954.688745833333
2019-06-06,8834908,908.514779166667
2019-04-28,8834904,11746.9638333333
2019-04-29,8834904,11764.3121791667
2019-04-30,8834904,12103.2744333333
2019-05-01,8834904,12413.9996333333
2019-05-02,8834904,12416.3833833333
2019-05-03,8834904,12069.122175
2019-05-04,8834904,11796.3013958333
2019-05-05,8834904,11412.5924833333
2019-05-06,8834904,10304.4907916667
2019-05-07,8834904,10175.4449916667
2019-05-08,8834904,10999.9843666667
2019-05-09,8834904,9954.81642083333
2019-05-10,8834904,7640.18803333333
2019-05-11,8834904,5249.50060416667
2019-05-12,8834904,3627.21690416667
2019-05-13,8834904,2876.92669166667
2019-05-14,8834904,2622.69028333333
2019-05-15,8834904,2565.09789583333
2019-05-16,8834904,2660.889025
2019-05-17,8834904,2787.58049583333
2019-05-18,8834904,2904.94300833333
2019-05-19,8834904,2948.89510416667
2019-05-20,8834904,2688.24318333333
2019-05-21,8834904,2257.418575
2019-05-22,8834904,1974.34182916667
2019-05-23,8834904,1790.39639583333
2019-05-24,8834904,1634.51142916667
2019-05-25,8834904,1498.72639583333
2019-05-26,8834904,1394.98948333333
2019-05-27,8834904,1311.1317875
2019-05-28,8834904,1241.22339166667
2019-05-29,8834904,1163.54575833333
2019-05-30,8834904,1105.65909166667
2019-05-31,8834904,1068.51980416667
2019-06-01,8834904,1037.4428625
2019-06-02,8834904,1022.24282916667
2019-06-03,8834904,1023.567125
2019-06-04,8834904,996.0511
2019-06-05,8834904,948.861825
2019-06-06,8834904,903.820870833333
2019-04-28,8834898,11731.4989333333
2019-04-29,8834898,11777.5404666667
2019-04-30,8834898,12129.4956
2019-05-01,8834898,12426.3303541667
2019-05-02,8834898,12399.8737666667
2019-05-03,8834898,12044.0928875
2019-05-04,8834898,11781.2926583333
2019-05-05,8834898,11350.3209125
2019-05-06,8834898,10254.0496291667
2019-05-07,8834898,10197.9139708333
2019-05-08,8834898,11032.9888958333
2019-05-09,8834898,9802.919075
2019-05-10,8834898,7455.43329583333
2019-05-11,8834898,5060.84654583333
2019-05-12,8834898,3519.2422125
2019-05-13,8834898,2829.35485416667
2019-05-14,8834898,2610.27128333333
2019-05-15,8834898,2565.289175
2019-05-16,8834898,2675.4268875
2019-05-17,8834898,2798.66048333333
2019-05-18,8834898,2916.87644166667
2019-05-19,8834898,2939.551425
2019-05-20,8834898,2643.98210833333
2019-05-21,8834898,2216.4388125
2019-05-22,8834898,1948.15009166667
2019-05-23,8834898,1771.2087375
2019-05-24,8834898,1614.76463333333
2019-05-25,8834898,1483.5410875
2019-05-26,8834898,1382.43804166667
2019-05-27,8834898,1301.12594583333
2019-05-28,8834898,1230.95270416667
2019-05-29,8834898,1153.39278333333
2019-05-30,8834898,1098.84629166667
2019-05-31,8834898,1063.54630833333
2019-06-01,8834898,1033.337525
2019-06-02,8834898,1021.55125416667
2019-06-03,8834898,1022.31639583333
2019-06-04,8834898,989.4590125
2019-06-05,8834898,941.637029166667
2019-06-06,8834898,899.009245833333
2019-04-28,8834894,11729.1446208333
2019-04-29,8834894,11778.3939125
2019-04-30,8834894,12131.7321875
2019-05-01,8834894,12426.9483666667
2019-05-02,8834894,12397.31345
2019-05-03,8834894,12040.988125
2019-05-04,8834894,11779.3209125
2019-05-05,8834894,11342.4486583333
2019-05-06,8834894,10249.0320041667
2019-05-07,8834894,10200.8127208333
2019-05-08,8834894,11034.7840583333
2019-05-09,8834894,9785.4382875
2019-05-10,8834894,7434.8477625
2019-05-11,8834894,5041.23217083333
2019-05-12,8834894,3508.4712125
2019-05-13,8834894,2824.71978333333
2019-05-14,8834894,2608.96167916667
2019-05-15,8834894,2565.31860833333
2019-05-16,8834894,2676.6923375
2019-05-17,8834894,2799.63163333333
2019-05-18,8834894,2917.8917375
2019-05-19,8834894,2938.06525833333
2019-05-20,8834894,2638.9644625
2019-05-21,8834894,2212.30405
2019-05-22,8834894,1945.45735
2019-05-23,8834894,1769.19285416667
2019-05-24,8834894,1612.74875416667
2019-05-25,8834894,1481.95192916667
2019-05-26,8834894,1381.09903333333
2019-05-27,8834894,1300.02235833333
2019-05-28,8834894,1229.84910833333
2019-05-29,8834894,1152.33334583333
2019-05-30,8834894,1098.13999583333
2019-05-31,8834894,1063.00186666667
